nom_station;coordonneesXY;nbre_pdc;puissance_nominale;gratuit;consolidated_longitude;consolidated_latitude
Écully - Smart Lyon Écully;"[4.78311100;45.78565100]";4;150;false;4.783111;45.785651
Blotzheim - Hôtel Mercure Bâle Mulhouse Aéroport;"[7.50290400;47.60821400]";8;225;false;7.502904;47.608214
Blotzheim - Hôtel Mercure Bâle Mulhouse Aéroport;"[7.50290400;47.60821400]";8;225;false;7.502904;47.608214
Blotzheim - Hôtel Mercure Bâle Mulhouse Aéroport;"[7.50290400;47.60821400]";8;225;false;7.502904;47.608214
Blotzheim - Hôtel Mercure Bâle Mulhouse Aéroport;"[7.50290400;47.60821400]";8;225;false;7.502904;47.608214
Blotzheim - Hôtel Mercure Bâle Mulhouse Aéroport;"[7.50290400;47.60821400]";8;225;false;7.502904;47.608214
Blotzheim - Hôtel Mercure Bâle Mulhouse Aéroport;"[7.50290400;47.60821400]";8;225;false;7.502904;47.608214
Blotzheim - Hôtel Mercure Bâle Mulhouse Aéroport;"[7.50290400;47.60821400]";8;225;false;7.502904;47.608214
Gonesse - Hôtel Ibis;"[2.46338400;48.96867200]";8;225;false;2.463384;48.968672
Gonesse - Hôtel Ibis;"[2.46338400;48.96867200]";8;225;false;2.463384;48.968672
Gonesse - Hôtel Ibis;"[2.46338400;48.96867200]";8;225;false;2.463384;48.968672
Gonesse - Hôtel Ibis;"[2.46338400;48.96867200]";8;225;false;2.463384;48.968672
Gonesse - Hôtel Ibis;"[2.46338400;48.96867200]";8;225;false;2.463384;48.968672
Gonesse - Hôtel Ibis;"[2.46338400;48.96867200]";8;225;false;2.463384;48.968672
Gonesse - Hôtel Ibis;"[2.46338400;48.96867200]";8;225;false;2.463384;48.968672
Gonesse - Hôtel Ibis;"[2.46338400;48.96867200]";8;225;false;2.463384;48.968672
Bobigny - Hôtel Campanile;"[2.45702800;48.90573600]";4;150;false;2.457028;48.905736
Bobigny - Hôtel Campanile;"[2.45702800;48.90573600]";4;150;false;2.457028;48.905736
Bobigny - Hôtel Campanile;"[2.45702800;48.90573600]";4;150;false;2.457028;48.905736
Sorgues - Décor Discount;"[4.88630000;43.98450100]";6;225;false;4.8863;43.984501
Sorgues - Décor Discount;"[4.88630000;43.98450100]";6;225;false;4.8863;43.984501
Sorgues - Décor Discount;"[4.88630000;43.98450100]";6;225;false;4.8863;43.984501
Sorgues - Décor Discount;"[4.88630000;43.98450100]";6;225;false;4.8863;43.984501
Sorgues - Décor Discount;"[4.88630000;43.98450100]";6;225;false;4.8863;43.984501
Sorgues - Décor Discount;"[4.88630000;43.98450100]";6;225;false;4.8863;43.984501
Bussy Saint Georges - Hôtel Première Classe;"[2.70466000;48.83257000]";4;150;false;2.70466;48.83257
Bussy Saint Georges - Hôtel Première Classe;"[2.70466000;48.83257000]";4;150;false;2.70466;48.83257
Bussy Saint Georges - Hôtel Première Classe;"[2.70466000;48.83257000]";4;150;false;2.70466;48.83257
Bussy Saint Georges - Hôtel Première Classe;"[2.70466000;48.83257000]";4;150;false;2.70466;48.83257
Blotzheim - Hôtel Mercure Bâle Mulhouse Aéroport;"[7.50290400;47.60821400]";8;225;false;7.502904;47.608214
Pessac - Hôtel Première Classe;"[-0.64491500;44.78838600]";4;150;false;-0.644915;44.788386
Rennes - Novotel Rennes Alma;"[-1.68291900;48.08224400]";4;225;false;-1.682919;48.082244
Pessac - Hôtel Première Classe;"[-0.64491500;44.78838600]";4;150;false;-0.644915;44.788386
Rennes - Novotel Rennes Alma;"[-1.68291900;48.08224400]";4;225;false;-1.682919;48.082244
Eysines - Hôtel Première Classe;"[-0.62896900;44.88076600]";4;150;false;-0.628969;44.880766
Eysines - Hôtel Première Classe;"[-0.62896900;44.88076600]";4;150;false;-0.628969;44.880766
Eysines - Hôtel Première Classe;"[-0.62896900;44.88076600]";4;150;false;-0.628969;44.880766
Eysines - Hôtel Première Classe;"[-0.62896900;44.88076600]";4;150;false;-0.628969;44.880766
Beaune - Greet Hotel;"[4.85182600;47.00953800]";8;225;false;4.851826;47.009538
Beaune - Greet Hotel;"[4.85182600;47.00953800]";8;225;false;4.851826;47.009538
Beaune - Greet Hotel;"[4.85182600;47.00953800]";8;225;false;4.851826;47.009538
Beaune - Greet Hotel;"[4.85182600;47.00953800]";8;225;false;4.851826;47.009538
Beaune - Greet Hotel;"[4.85182600;47.00953800]";8;225;false;4.851826;47.009538
Beaune - Greet Hotel;"[4.85182600;47.00953800]";8;225;false;4.851826;47.009538
Beaune - Greet Hotel;"[4.85182600;47.00953800]";8;225;false;4.851826;47.009538
Beaune - Greet Hotel;"[4.85182600;47.00953800]";8;225;false;4.851826;47.009538
La Verrière - Hôtel Campanile;"[1.94541400;48.75730900]";4;150;false;1.945414;48.757309
La Verrière - Hôtel Campanile;"[1.94541400;48.75730900]";4;150;false;1.945414;48.757309
La Verrière - Hôtel Campanile;"[1.94541400;48.75730900]";4;150;false;1.945414;48.757309
La Verrière - Hôtel Campanile;"[1.94541400;48.75730900]";4;150;false;1.945414;48.757309
Blagnac - Hôtel Première Classe Toulouse Aéroport;"[1.37510300;43.63754800]";4;150;false;1.375103;43.637548
Blagnac - Hôtel Première Classe Toulouse Aéroport;"[1.37510300;43.63754800]";4;150;false;1.375103;43.637548
Blagnac - Hôtel Première Classe Toulouse Aéroport;"[1.37510300;43.63754800]";4;150;false;1.375103;43.637548
Blagnac - Hôtel Première Classe Toulouse Aéroport;"[1.37510300;43.63754800]";4;150;false;1.375103;43.637548
Villenave-d'Ornon - Best Hotel;"[-0.58726300;44.78378500]";4;150;false;-0.587263;44.783785
Villenave-d'Ornon - Best Hotel;"[-0.58726300;44.78378500]";4;150;false;-0.587263;44.783785
Villenave-d'Ornon - Best Hotel;"[-0.58726300;44.78378500]";4;150;false;-0.587263;44.783785
Villenave-d'Ornon - Best Hotel;"[-0.58726300;44.78378500]";4;150;false;-0.587263;44.783785
Pessac - Hôtel Première Classe;"[-0.64491500;44.78838600]";4;150;false;-0.644915;44.788386
Pessac - Hôtel Première Classe;"[-0.64491500;44.78838600]";4;150;false;-0.644915;44.788386
Dechy - CC Le Parc du Luc;"[3.10677900;50.34270300]";4;225;false;3.106779;50.342703
Dechy - CC Le Parc du Luc;"[3.10677900;50.34270300]";4;300;false;3.106779;50.342703
Dechy - CC Le Parc du Luc;"[3.10677900;50.34270300]";4;300;false;3.106779;50.342703
Dechy - CC Le Parc du Luc;"[3.10677900;50.34270300]";4;225;false;3.106779;50.342703
Passy - Decathlon Mountain Store;"[6.69171800;45.91665700]";6;225;false;6.691718;45.916657
Passy - Decathlon Mountain Store;"[6.69171800;45.91665700]";6;225;false;6.691718;45.916657
Passy - Decathlon Mountain Store;"[6.69171800;45.91665700]";6;225;false;6.691718;45.916657
Rosny-sous-Bois - B&B Hotels;"[2.47552700;48.87816700]";6;225;false;2.475527;48.878167
